snap_date,position_id,status,current_line,current_odds,clv_points,clv_prob_pp
2026-07-18,fut-cin-north,entered,,200,,0.0
2026-07-18,fut-ne-east,entered,,120,,0.0
2026-07-18,fut-buf-sb,entered,,1000,,0.0
2026-07-18,fut-ne-afc,entered,,850,,0.0
2026-07-18,fut-chi-north,entered,,320,,0.0
2026-07-18,fut-den-west,entered,,225,,0.0
2026-07-18,fut-chi-sb,entered,,2500,,0.0
2026-07-18,fut-min-sb,entered,,5000,,0.0
2026-07-18,w1-den-kc,entered,2.5,,0.0,
2026-07-18,w1-sea-ne,entered,-3.5,,0.0,
2026-07-18,lean-ten-over,entered,39.5,,0.0,
2026-07-18,lean-mia-kc,entered,7.0,,0.0,
2026-07-18,w1-jax-cle,waiting,-7.5,,,
2026-07-18,w1-sf-la,waiting,3.0,,,
2026-07-18,w1-phi-was,waiting,-5.5,,,
2026-07-18,w1-min-gb,watch,1.5,,,
2026-07-18,fut-cin-north,entered,,200,,0.0
2026-07-18,fut-ne-east,entered,,120,,0.0
2026-07-18,fut-buf-sb,entered,,1000,,0.0
2026-07-18,fut-ne-afc,entered,,850,,0.0
2026-07-18,fut-chi-north,entered,,320,,0.0
2026-07-18,fut-den-west,entered,,225,,0.0
2026-07-18,fut-chi-sb,entered,,2500,,0.0
2026-07-18,fut-min-sb,entered,,5000,,0.0
2026-07-18,w1-den-kc,entered,2.5,,0.0,
2026-07-18,w1-sea-ne,entered,-3.5,,0.0,
2026-07-18,lean-ten-over,entered,39.5,,0.0,
2026-07-18,lean-mia-kc,entered,7.0,,0.0,
2026-07-18,w1-jax-cle,waiting,-7.5,,,
2026-07-18,w1-sf-la,waiting,3.0,,,
2026-07-18,w1-phi-was,waiting,-5.5,,,
2026-07-18,w1-min-gb,watch,1.5,,,
2026-07-18,b-no-det,entered,7.0,,0.0,
2026-07-18,b-kc-den,entered,-2.5,,0.0,
2026-07-18,b-la-sf,entered,-3.0,,0.0,
2026-07-18,u-ne_sea,entered,44.5,,0.0,
2026-07-18,u-sf_la,entered,48.5,,0.0,
2026-07-18,u-chi_car,entered,44.5,,0.0,
2026-07-18,u-tb_cin,entered,50.5,,0.0,
2026-07-18,u-no_det,entered,48.5,,0.0,
2026-07-18,u-buf_hou,entered,44.5,,0.0,
2026-07-18,u-bal_ind,entered,49.5,,0.0,
2026-07-18,u-cle_jax,entered,40.5,,0.0,
2026-07-18,u-atl_pit,entered,41.5,,0.0,
2026-07-18,u-ari_lac,entered,45.5,,0.0,
2026-07-18,u-mia_lv,entered,41.5,,0.0,
2026-07-18,u-gb_min,entered,44.5,,0.0,
2026-07-18,u-was_phi,entered,46.5,,0.0,
2026-07-18,u-dal_nyg,entered,48.5,,0.0,
2026-07-18,u-den_kc,entered,42.5,,0.0,
2026-07-18,m-jax-phi,entered,2.5,,0.0,
2026-07-18,m-den-la,entered,3.0,,0.0,
2026-07-18,m-ari-lac,entered,10.5,,0.0,
2026-07-18,f2-mia-u45,entered,4.5,-130,0.0,0.0
2026-07-18,f2-lar-o115,entered,11.5,100,0.0,0.0
2026-07-18,f2-maye-mvp,entered,,1100,,0.0
2026-07-18,f2-jsn-opoy,entered,,1500,,0.0
